date,hls_date,gcc_mean,evi,source_file
8/21/2022,8/21/2022,0.40182,0.850256979,ecb4_2022
7/31/2022,7/31/2022,0.41249,0.850068569,mead1_2022
8/10/2021,8/10/2021,0.41238,0.849973857,arsope3ltar_2021
9/4/2022,9/4/2022,0.38904,0.849492252,ecb4_2022
8/28/2023,8/28/2023,0.41293,0.848399639,ecb1_2023
8/29/2021,8/29/2021,0.39412,0.848140061,arsope3ltar_2021
8/9/2021,8/9/2021,0.4092,0.847186863,arsope3ltar_2021
8/18/2023,8/18/2023,0.41169,0.847094774,arsltarucbec1_2023
8/5/2023,8/5/2023,0.42569,0.84706986,ecb1_2023
8/20/2022,8/20/2022,0.40525,0.846856892,ecb4_2022
8/28/2022,8/28/2022,0.40556,0.846810162,mead1_2022
8/17/2023,8/17/2023,0.39753,0.846508384,arsope3ltar_2023
8/18/2023,8/18/2023,0.40314,0.846324444,ecb4_2023
8/31/2022,8/31/2022,0.40811,0.846121192,arsbrooks10_2022
8/30/2021,8/30/2021,0.39792,0.845373154,arsope3ltar_2021
9/5/2022,9/5/2022,0.38503,0.844019711,ecb4_2022
8/8/2021,8/8/2021,0.40275,0.843924344,arsope3ltar_2021
8/11/2023,8/11/2023,0.4141,0.843453944,ecb4_2023
8/19/2022,8/19/2022,0.40313,0.842893124,ecb4_2022
8/31/2021,8/31/2021,0.39284,0.842287064,arsope3ltar_2021
9/12/2023,9/12/2023,0.39313,0.84196651,arsltarucbec1_2023
8/4/2022,8/4/2022,0.42041,0.841343105,arsbrooks10_2022
7/30/2022,7/30/2022,0.41032,0.841181338,mead1_2022
8/29/2022,8/29/2022,0.41329,0.840553463,goodwaterbau_2022
8/29/2022,8/29/2022,0.40429,0.840363503,mead1_2022
8/7/2021,8/7/2021,0.4062,0.840247154,arsope3ltar_2021
8/28/2022,8/28/2022,0.40145,0.839930415,goodwaterbau_2022
8/27/2022,8/27/2022,0.41624,0.83982563,goodwaterbau_2022
8/30/2022,8/30/2022,0.41222,0.839304805,goodwaterbau_2022
8/26/2022,8/26/2022,0.41524,0.839104056,goodwaterbau_2022
8/19/2023,8/19/2023,0.41005,0.838665187,ecb4_2023
8/25/2022,8/25/2022,0.41123,0.838531017,goodwaterbau_2022
8/18/2022,8/18/2022,0.40328,0.83831495,ecb4_2022
9/6/2022,9/6/2022,0.39054,0.837740004,ecb4_2022
9/1/2021,9/1/2021,0.3987,0.837421894,arsope3ltar_2021
8/31/2022,8/31/2022,0.41128,0.837250173,goodwaterbau_2022
8/24/2022,8/24/2022,0.41505,0.836646676,goodwaterbau_2022
8/16/2023,8/16/2023,0.39846,0.836258888,arsope3ltar_2023
8/29/2023,8/29/2023,0.40685,0.836178303,ecb1_2023
9/1/2022,9/1/2022,0.40851,0.83616668,arsbrooks10_2022
8/23/2022,8/23/2022,0.41071,0.835543871,goodwaterbau_2022
8/6/2021,8/6/2021,0.40314,0.835371196,arsope3ltar_2021
8/4/2023,8/4/2023,0.434,0.835185289,ecb1_2023
9/1/2022,9/1/2022,0.40667,0.834708512,goodwaterbau_2022
8/10/2023,8/10/2023,0.41825,0.83378464,ecb4_2023
8/30/2022,8/30/2022,0.40406,0.833521664,mead1_2022
8/17/2022,8/17/2022,0.40075,0.833146334,ecb4_2022
8/22/2022,8/22/2022,0.41173,0.832888603,goodwaterbau_2022
9/2/2021,9/2/2021,0.38898,0.831938088,arsope3ltar_2021
7/29/2022,7/29/2022,0.41616,0.831709802,mead1_2022
9/2/2022,9/2/2022,0.39755,0.831454754,goodwaterbau_2022
9/7/2022,9/7/2022,0.38492,0.830420554,ecb4_2022
8/5/2021,8/5/2021,0.40077,0.829995632,arsope3ltar_2021
8/17/2023,8/17/2023,0.41913,0.829908252,arsltarucbec1_2023
8/21/2022,8/21/2022,0.41526,0.829687715,goodwaterbau_2022
8/20/2023,8/20/2023,0.4052,0.829296887,ecb4_2023
9/13/2023,9/13/2023,0.3936,0.828592241,arsltarucbec1_2023
9/3/2022,9/3/2022,0.41358,0.82806164,goodwaterbau_2022
8/16/2022,8/16/2022,0.40456,0.827751338,ecb4_2022
8/3/2022,8/3/2022,0.42113,0.827551842,arsbrooks10_2022
8/20/2022,8/20/2022,0.41676,0.826092601,goodwaterbau_2022
8/31/2022,8/31/2022,0.40597,0.826074898,mead1_2022
9/3/2021,9/3/2021,0.38815,0.825843692,arsope3ltar_2021
8/15/2023,8/15/2023,0.40162,0.825481892,arsope3ltar_2023
9/2/2022,9/2/2022,0.41041,0.825461268,arsbrooks10_2022
8/4/2021,8/4/2021,0.4013,0.824306965,arsope3ltar_2021
9/4/2022,9/4/2022,0.3979,0.823259115,goodwaterbau_2022
8/30/2023,8/30/2023,0.41384,0.823181152,ecb1_2023
8/3/2023,8/3/2023,0.43678,0.822583556,ecb1_2023
8/19/2022,8/19/2022,0.41226,0.822492003,goodwaterbau_2022
9/8/2022,9/8/2022,0.38776,0.822346151,ecb4_2022
7/28/2022,7/28/2022,0.4156,0.821588039,mead1_2022
8/9/2023,8/9/2023,0.41841,0.821531773,ecb4_2023
8/15/2022,8/15/2022,0.40215,0.821470082,ecb4_2022
9/4/2021,9/4/2021,0.38871,0.819073677,arsope3ltar_2021
8/18/2022,8/18/2022,0.41899,0.818635821,goodwaterbau_2022
8/3/2021,8/3/2021,0.40575,0.818510056,arsope3ltar_2021
9/5/2022,9/5/2022,0.38958,0.818367362,goodwaterbau_2022
8/30/2023,8/30/2023,0.41478,0.818120837,goodwater_2023
8/21/2023,8/21/2023,0.40214,0.817985833,ecb4_2023
9/1/2022,9/1/2022,0.40229,0.817573547,mead1_2022
8/29/2023,8/29/2023,0.42613,0.817523062,goodwater_2023
8/31/2023,8/31/2023,0.40794,0.81683898,goodwater_2023
8/28/2023,8/28/2023,0.4193,0.815592408,goodwater_2023
9/14/2023,9/14/2023,0.39254,0.814824581,arsltarucbec1_2023
9/3/2022,9/3/2022,0.40693,0.814719558,arsbrooks10_2022
8/17/2022,8/17/2022,0.41661,0.814608574,goodwaterbau_2022
8/14/2022,8/14/2022,0.4096,0.814294577,ecb4_2022
8/2/2022,8/2/2022,0.42255,0.814201713,arsbrooks10_2022
8/14/2023,8/14/2023,0.39951,0.814150453,arsope3ltar_2023
9/1/2023,9/1/2023,0.40835,0.813863397,goodwater_2023
9/6/2022,9/6/2022,0.39602,0.813591361,goodwaterbau_2022
9/9/2022,9/9/2022,0.39026,0.813281775,ecb4_2022
8/2/2021,8/2/2021,0.40284,0.812750816,arsope3ltar_2021
8/27/2023,8/27/2023,0.4152,0.812563598,goodwater_2023
8/16/2023,8/16/2023,0.42105,0.812480569,arsltarucbec1_2023
9/5/2021,9/5/2021,0.3933,0.811850369,arsope3ltar_2021
8/16/2022,8/16/2022,0.40935,0.810446262,goodwaterbau_2022
9/2/2023,9/2/2023,0.40678,0.810162783,goodwater_2023
7/27/2022,7/27/2022,0.4085,0.809902191,mead1_2022
8/31/2023,8/31/2023,0.40912,0.809474945,ecb1_2023
8/2/2023,8/2/2023,0.435,0.809289992,ecb1_2023
9/2/2022,9/2/2022,0.40482,0.808715045,mead1_2022
8/26/2023,8/26/2023,0.43023,0.808477819,goodwater_2023
8/13/2022,8/13/2022,0.40735,0.807245672,ecb4_2022
9/7/2022,9/7/2022,0.40463,0.806725681,goodwaterbau_2022
8/8/2023,8/8/2023,0.42042,0.806614339,ecb4_2023
8/1/2021,8/1/2021,0.40676,0.805201232,arsope3ltar_2021
8/22/2023,8/22/2023,0.4025,0.804904759,ecb4_2023
9/3/2023,9/3/2023,0.41304,0.804414392,goodwater_2023
9/6/2021,9/6/2021,0.38892,0.803994358,arsope3ltar_2021
8/16/2021,8/16/2021,0.41906,0.803962052,goodwaterbau_2021
8/15/2022,8/15/2022,0.40728,0.803928971,goodwaterbau_2022
8/15/2021,8/15/2021,0.41873,0.803220809,goodwaterbau_2021
9/10/2022,9/10/2022,0.39448,0.80318284,ecb4_2022
8/17/2021,8/17/2021,0.41443,0.802872539,goodwaterbau_2021
9/4/2022,9/4/2022,0.40341,0.802492976,arsbrooks10_2022
8/13/2023,8/13/2023,0.39431,0.802245498,arsope3ltar_2023
8/14/2021,8/14/2021,0.4187,0.802034378,goodwaterbau_2021
9/22/2023,9/22/2023,0.39565,0.801043808,arsope3ltar_2023
8/1/2022,8/1/2022,0.42634,0.800998509,arsbrooks10_2022
9/15/2023,9/15/2023,0.39006,0.80086422,arsltarucbec1_2023
8/25/2023,8/25/2023,0.42892,0.800805151,goodwater_2023
8/14/2022,8/14/2022,0.4144,0.800760508,goodwaterbau_2022
8/18/2021,8/18/2021,0.41534,0.800561786,goodwaterbau_2021
9/3/2022,9/3/2022,0.40279,0.80015111,mead1_2022
8/13/2021,8/13/2021,0.41672,0.799311042,goodwaterbau_2021
8/12/2022,8/12/2022,0.40266,0.799209595,ecb4_2022
7/26/2022,7/26/2022,0.41525,0.798982799,mead1_2022
9/8/2022,9/8/2022,0.40698,0.798781633,goodwaterbau_2022
9/4/2023,9/4/2023,0.42173,0.797848344,goodwater_2023
8/19/2021,8/19/2021,0.41437,0.797040403,goodwaterbau_2021
7/31/2021,7/31/2021,0.40248,0.797031343,arsope3ltar_2021
8/12/2021,8/12/2021,0.42801,0.795710325,goodwaterbau_2021
9/7/2021,9/7/2021,0.38725,0.795490384,arsope3ltar_2021
8/1/2023,8/1/2023,0.43227,0.795369029,ecb1_2023
8/13/2022,8/13/2022,0.41224,0.79512012,goodwaterbau_2022
8/15/2023,8/15/2023,0.42054,0.795047045,arsltarucbec1_2023
9/1/2023,9/1/2023,0.40892,0.794990361,ecb1_2023
8/24/2023,8/24/2023,0.42558,0.794442177,goodwater_2023
8/20/2021,8/20/2021,0.41228,0.792135656,goodwaterbau_2021
9/11/2022,9/11/2022,0.39252,0.791452348,ecb4_2022
8/11/2021,8/11/2021,0.41187,0.790973365,goodwaterbau_2021
8/12/2022,8/12/2022,0.42008,0.790778637,goodwaterbau_2022
9/5/2022,9/5/2022,0.40444,0.790720046,arsbrooks10_2022
9/9/2022,9/9/2022,0.40894,0.790420413,goodwaterbau_2022
9/4/2022,9/4/2022,0.40371,0.790335834,mead1_2022
8/12/2023,8/12/2023,0.39918,0.790295899,arsope3ltar_2023
8/11/2022,8/11/2022,0.40182,0.790185034,ecb4_2022
9/23/2023,9/23/2023,0.41691,0.789746642,arsope3ltar_2023
9/5/2023,9/5/2023,0.40838,0.789669514,goodwater_2023
8/23/2023,8/23/2023,0.40283,0.789587021,ecb4_2023
8/7/2023,8/7/2023,0.40948,0.788954675,ecb4_2023
7/30/2021,7/30/2021,0.40568,0.788258493,arsope3ltar_2021
7/25/2022,7/25/2022,0.4113,0.786957264,mead1_2022
9/16/2023,9/16/2023,0.38896,0.786722183,arsltarucbec1_2023
8/11/2022,8/11/2022,0.42124,0.786306858,goodwaterbau_2022
9/8/2021,9/8/2021,0.39188,0.786211669,arsope3ltar_2021
7/31/2022,7/31/2022,0.41949,0.786204219,arsbrooks10_2022
